grid_size,f,p,r,num_states,num_simulations,is_steady,pct_trees,pct_fires
"(5, 5)",0.1,0.1,0.0,300,5,False,,
"(5, 5)",0.1,0.1,0.0,300,5,False,,
"(5, 5)",0.1,0.1,0.0,300,5,False,,
"(5, 5)",0.1,0.1,0.0,300,5,False,,
"(5, 5)",0.1,0.1,0.0,300,5,False,,
"(5, 5)",0.1,0.15,0.0,300,5,False,,
"(5, 5)",0.1,0.15,0.0,300,5,False,,
"(5, 5)",0.1,0.15,0.0,300,5,False,,
"(5, 5)",0.1,0.15,0.0,300,5,False,,
"(5, 5)",0.1,0.15,0.0,300,5,False,,
"(5, 5)",0.1,0.2,0.0,300,5,False,,
"(5, 5)",0.1,0.2,0.0,300,5,False,,
"(5, 5)",0.1,0.2,0.0,300,5,False,,
"(5, 5)",0.1,0.2,0.0,300,5,False,,
"(5, 5)",0.1,0.2,0.0,300,5,False,,
"(5, 5)",0.1,0.3,0.0,300,5,False,,
"(5, 5)",0.1,0.3,0.0,300,5,False,,
"(5, 5)",0.1,0.3,0.0,300,5,False,,
"(5, 5)",0.1,0.3,0.0,300,5,False,,
"(5, 5)",0.1,0.3,0.0,300,5,False,,
"(5, 5)",0.1,0.4,0.0,300,5,False,,
"(5, 5)",0.1,0.4,0.0,300,5,False,,
"(5, 5)",0.1,0.4,0.0,300,5,False,,
"(5, 5)",0.1,0.4,0.0,300,5,False,,
"(5, 5)",0.1,0.4,0.0,300,5,False,,
"(5, 5)",0.1,0.45,0.0,300,5,False,,
"(5, 5)",0.1,0.45,0.0,300,5,False,,
"(5, 5)",0.1,0.45,0.0,300,5,False,,
"(5, 5)",0.1,0.45,0.0,300,5,False,,
"(5, 5)",0.1,0.45,0.0,300,5,False,,
"(5, 5)",0.1,0.5,0.0,300,5,False,,
"(5, 5)",0.1,0.5,0.0,300,5,False,,
"(5, 5)",0.1,0.5,0.0,300,5,False,,
"(5, 5)",0.1,0.5,0.0,300,5,False,,
"(5, 5)",0.1,0.5,0.0,300,5,False,,
"(5, 5)",0.1,0.7,0.0,300,5,False,,
"(5, 5)",0.1,0.7,0.0,300,5,False,,
"(5, 5)",0.1,0.7,0.0,300,5,False,,
"(5, 5)",0.1,0.7,0.0,300,5,False,,
"(5, 5)",0.1,0.7,0.0,300,5,False,,
"(5, 5)",0.1,0.9,0.0,300,5,False,,
"(5, 5)",0.1,0.9,0.0,300,5,False,,
